,category,corr_ans,masks,words,symbols
104,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_70.png
105,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_29.png
106,nonword,,&&&&&,noost,images/symbols/symbol_80.png
107,care.vice,right,&&&&&&,killed,images/symbols/symbol_15.png
108,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_11.png
109,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_8.png
110,nonword,,&&&&&&,clorze,images/symbols/symbol_5.png
111,care.vice,right,&&&&&&&,victims,images/symbols/symbol_75.png
112,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_45.png
113,authority.vice,right,&&&&,riot,images/symbols/symbol_14.png
114,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_60.png
115,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_26.png
116,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_25.png
117,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_72.png
118,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_57.png
119,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_78.png
120,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_44.png
121,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_22.png
122,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_20.png
123,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_42.png
124,fairness.vice,right,&&&&,hate,images/symbols/symbol_69.png
125,nonword,,&&&&&&,crarft,images/symbols/symbol_13.png
126,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_38.png
127,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_2.png
128,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_59.png
129,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_73.png
130,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_54.png
131,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_39.png
132,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_46.png
133,sanctity.vice,right,&&&,war,images/symbols/symbol_32.png
134,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_12.png
135,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_27.png
136,nonword,,&&&&&,cifte,images/symbols/symbol_48.png
137,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_79.png
138,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_40.png
139,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_77.png
140,sanctity.vice,right,&&&&,fear,images/symbols/symbol_28.png
141,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_55.png
142,authority.virtue,left,&&&&&,trust,images/symbols/symbol_81.png
143,nonword,,&&&&&,treas,images/symbols/symbol_74.png
144,nonword,,&&&&&,snauz,images/symbols/symbol_56.png
145,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_71.png
146,fairness.vice,right,&&&&,lies,images/symbols/symbol_65.png
147,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_6.png
148,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_58.png
149,nonword,,&&&&&,foald,images/symbols/symbol_67.png
150,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_1.png
