words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
lies,neneficence,&&&&&&&&&&&,right,fairness.vice,,,,,,,0,257,257,257,,,,,,,,,,,,,,,,,,,,,AMP,right,2.2175245170947164,,,right,1,2.2175245170947164,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
thabbily,abointment,&&&&&&&&&&,None,nonword,,,,,,,0,258,258,258,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6672291127033532,,,left,0,0.6672291127033532,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
growth,shoirmaster,&&&&&&&&&&&,left,care.virtue,,,,,,,0,259,259,259,,,,,,,,,,,,,,,,,,,,,AMP,left,1.033707310212776,,,left,1,1.033707310212776,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
great,troubla,&&&&&&&,left,loyalty.virtue,,,,,,,0,260,260,260,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4837005588924512,,,left,1,0.4837005588924512,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
peaceful,unscothed,&&&&&&&&&,left,authority.virtue,,,,,,,0,261,261,261,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7837959106545895,,,left,1,0.7837959106545895,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
harassment,coom,&&&&,right,sanctity.vice,,,,,,,0,262,262,262,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7336651989025995,,,left,0,0.7336651989025995,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
fear,spag,&&&&,right,sanctity.vice,,,,,,,0,263,263,263,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7004495612345636,,,left,0,0.7004495612345636,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
good,dormandi,&&&&&&&&,left,care.virtue,,,,,,,0,264,264,264,,,,,,,,,,,,,,,,,,,,,AMP,right,0.867156051332131,,,right,0,0.867156051332131,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
crime,vurtain,&&&&&&&,right,fairness.vice,,,,,,,0,265,265,265,,,,,,,,,,,,,,,,,,,,,AMP,right,1.6340192479547113,,,right,1,1.6340192479547113,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
love,forepo,&&&&&&,left,loyalty.virtue,,,,,,,0,266,266,266,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6504266132833436,,,left,1,0.6504266132833436,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
