words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
hereby,,&&&&&&,left,neutral,,,,,,,,,,,,,,,0,126,126,146,,,,,,,,,,,,,LDT,right,0.8504171587119345,,,,,,0,,,,,,,,,,,,,right,0,0.8504171587119345,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
whither,,&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,127,127,15,,,,,,,,,,,,,LDT,right,3.4844217347272206,,,,,,0,,,,,,,,,,,,,right,0,3.4844217347272206,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
betrayal,,&&&&&&&&,left,loyalty.vice,,,,,,,,,,,,,,,0,128,128,93,,,,,,,,,,,,,LDT,right,0.71708673320245,,,,,,0,,,,,,,,,,,,,right,0,0.71708673320245,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
hescribe,,&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,129,129,106,,,,,,,,,,,,,LDT,left,1.01715523871826,,,,,,0,,,,,,,,,,,,,left,0,1.01715523871826,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
neneficence,,&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,130,130,182,,,,,,,,,,,,,LDT,left,0.7837278920633253,,,,,,0,,,,,,,,,,,,,left,0,0.7837278920633253,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
focomotive,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,131,131,45,,,,,,,,,,,,,LDT,left,5.451590732263867,,,,,,0,,,,,,,,,,,,,left,0,5.451590732263867,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
ning,,&&&&,right,nonword,,,,,,,,,,,,,,,0,132,132,20,,,,,,,,,,,,,LDT,left,0.6503974665829446,,,,,,0,,,,,,,,,,,,,left,0,0.6503974665829446,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
values,,&&&&&&,left,sanctity.virtue,,,,,,,,,,,,,,,0,133,133,52,,,,,,,,,,,,,LDT,right,0.5503563504607882,,,,,,0,,,,,,,,,,,,,right,0,0.5503563504607882,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
peace,,&&&&&,left,care.virtue,,,,,,,,,,,,,,,0,134,134,54,,,,,,,,,,,,,LDT,right,0.5336789824650623,,,,,,0,,,,,,,,,,,,,right,0,0.5336789824650623,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
discovars,,&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,135,135,176,,,,,,,,,,,,,LDT,left,0.7002602310676593,,,,,,0,,,,,,,,,,,,,left,0,0.7002602310676593,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
